Class,Order,Family,Species,FishBase Common name,All Common Name/s Aus/Global English (FishBase),AFD Preferred Common Name
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus albipectoralis,Whitefin surgeonfish ,"White-fin surgeon (English), Whitefin surgeonfish (English)",Whitefin Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus auranticavus,Orange-socket surgeonfish ,"Orange-socket surgeonfish (English), Ring-tail surgeon (English), Ringtail surgeonfish (English)",Ringtail Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus bariene,Black-spot surgeonfish ,"Black-spot surgeonfish (English), Eye-spot surgeon (English), Eyespot surgeonfish (English), Eye-spot surgeonfish (English), Roundspot surgeonfish (English)",Eyespot Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus blochii,Ringtail surgeonfish ,"Dark surgeon (English), Dark surgeonfish (English), Ringtail surgeonfish (English)",Dark Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus dussumieri,Eyestripe surgeonfish ,"Dussumier's surgeonfish (English), Eyestripe surgeonfish (English), Ornate surgeonfish (English), Pencil surgeonfish (English), Pencilled surgeon (English), Pencilled surgeonfish (English)",Pencil Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus fowleri,Fowler's surgeonfish ,"Horse-shoe surgeon (English), Horseshoe surgeonfish (English)",Horseshoe Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus grammoptilus,Finelined surgeonfish ,"Finelined surgeonfish (English), Inshore surgeon (English), Inshore surgeonfish (English), Northwest surgeonfish (English), Ring-tailed surgeonfish (English)",Inshore Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus guttatus,Whitespotted surgeonfish ,"Spotband surgeonfish (English), White-spotted surgeon (English), Whitespotted surgeonfish (English), White-spotted surgeonfish (English)",Whitespotted Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus lineatus,Lined surgeonfish ,"Bluelined surgeonfish (English), Blue-lined surgeonfish (English), Lined surgeon (English), Lined surgeonfish (English), Spoted box crab (English), Striped surgeon (English), Striped surgeonfish (English), Striped tang (English), Zebra surgeonfish (English)",Bluelined Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus maculiceps,White-freckled surgeonfish ,"Earbar surgeonfish (English), Spot-face surgeon (English), Spotted-face surgeonfish (English)",Spotted-face Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus mata,Elongate surgeonfish ,"Elongate surgeonfish (English), Pale surgeon (English), Pale surgeonfish (English), Yellowmask surgeonfish (English)",Pale Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigricans,Whitecheek surgeonfish ,"Goldrim surgeonfish (English), Velvet surgeon (English), Velvet surgeonfish (English), Whitecheek surgeonfish (English), White-cheeked surgeonfish (English), Yellow-banded surgeonfish (English), Yellowrimmed surgeonfish (English)",Velvet Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigricauda,Epaulette surgeonfish ,"Blackstreak surgeonfish (English), Epaulette surgeonfish (English), Eye-line surgeon (English), Eyeline surgeonfish (English), Eye-line surgeonfish (English)",Eyeline Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigrofuscus,Brown surgeonfish ,"Brown surgeonfish (English), Dusky surgeon (English), Dusky surgeonfish (English)",Dusky Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigroris,Bluelined surgeonfish ,"Bluelined surgeonfish (English), Greyhead surgeonfish (English), Grey-head surgeonfish (English)",
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus olivaceus,Orangespot surgeonfish ,"Orangeband surgeonfish (English), Orangebar surgeonfish (English), Orange-blotch surgeon (English), Orangeblotch surgeonfish (English), Orange-blotch surgeonfish (English), Orangespot surgeonfish (English), Orange-spot surgeonfish (English), Orange-spot surgeon-fish (English), Orangespot surgeon-fish (English)",Orangeblotch Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus pyroferus,Chocolate surgeonfish ,"Mimic surgeon (English), Mimic surgeonfish (English), Orange-gilled surgeonfish (English), Pacific mimic surgeon (English)",Mimic Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus thompsoni,Thompson's surgeonfish ,"Chocolate surgeonfish (English), Night surgeonfish (English), Thompson's surgeonfish (English)",Night Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus triostegus,Convict surgeonfish ,"Convict surgeon (English), Convict surgeonfish (English), Convict surgeon-fish (English), Five-banded surgeon-fish (English)",Convict Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus xanthopterus,Yellowfin surgeonfish ,"Ring-tailed surgeonfish (English), Yellowfin surgeonfish (English), Yellow-mask surgeon (English), Yellowmask surgeonfish (English), Yellow-masked surgeon (English)",Yellowmask Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus binotatus,Twospot surgeonfish ,"Twospot bristletooth (English), Two-spot bristletooth (English), Two-spot bristle-tooth (English), Twospot surgeonfish (English)",Twospot Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus cyanocheilus,Short-tail bristle-tooth ,"Blue-lipped bristletooth (English), Bristle-toothed surgeonfish (English), Bristle-toothed surgeon-fish (English), Goldring bristletooth (English), Indo-pacific yellow tang (English), Yelloweye bristletooth (English), Yellow-eye surgeonfish (English)",Yelloweye Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus striatus,Striated surgeonfish ,"Fine-lined bristletooth (English), Lined bristletooth (English), Striated surgeonfish (English), Striped bristletooth (English), Striped bristle-tooth (English)",Lined Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus tominiensis,Tomini surgeonfish ,"Orange-tip bristletooth (English), Orange-tipped bristletooth (English), Tomini bristletooth (English), Yellow-tip bristletooth (English), Yellow-tip bristle-tooth (English)",Orange-tip Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus truncatus,Indian gold-ring bristle-tooth ,Yelloweye bristletooth (English),Yelloweye Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Naso annulatus,Whitemargin unicornfish ,"Ringtailed unicornfish (English), Ring-tailed unicornfish (English), Ring-tailed unicorn-fish (English), Ringtail unicornfish (English), Short-horned unicorn-fish (English), White-margin unicorn (English), Whitemargin unicornfish (English)",Ringtail Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso brachycentron,Humpback unicornfish ,"Humpback unicorn (English), Humpback unicornfish (English)",Humpback Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso brevirostris,Spotted unicornfish ,"Longnose surgeonfish (English), Longnosed unicornfish (English), Palefin unicornfish (English), Short-horned unicornfish (English), Short-snouted unicornfish (English), Spotted unicorn (English), Spotted unicornfish (English)",Spotted Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso caeruleacauda,Blue unicorn ,"Blue unicorn (English), Blue unicornfish (English), Bluetail unicornfish (English)",Blue Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso caesius,Gray unicornfish ,"Gray unicornfish (English), Silverblotched unicornfish (English), Silver-blotched unicornfish (English)",Silverblotched Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso fageni,Horseface unicornfish ,"Blunt unicornfish (English), Horse-face unicorn (English), Horseface unicornfish (English)",Horseface Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso hexacanthus,Sleek unicornfish ,"Blue-tail unicorn (English), Horse-face unicorn (English), Sleek unicornfish (English), Thorpe's unicornfish (English)",Sleek Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso lituratus,Orangespine unicornfish ,"Black-finned unicornfish (English), Clown unicornfish (English), Orage-spine unicorn (English), Orangespine unicornfish (English), Orange-spine unicornfish (English), Pacific orange-spine unicorn (English), Smooth-headed unicornfish (English), Stripe-face unicornfish (English), Stripe-faced unicorn fish (English), Stripe-faced unicorn-fish (English)",Clown Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso lopezi,Elongate unicornfish ,"Elongate unicornfish (English), Slender unicorn (English), Slender unicornfish (English)",Slender Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso mcdadei,Squarenose unicornfish ,Squarenose unicornfish (English),Squarenose Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso minor,Slender unicorn ,"Blackspine unicorn (English), Little unicorn (English)",Blackspine Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso thynnoides,Oneknife unicornfish ,"Barred unicornfish (English), Little unicorn (English), One-spine unicorn (English), Onespine unicornfish (English), Oneknife unicornfish (English), Singlespine unicornfish (English), Single-spined unicornfish (English)",Onespine Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso tonganus,Bulbnose unicornfish ,"Bluntnose unicornfish (English), Bulbnose unicornfish (English), Humphead unicornfish (English), Hump-head unicornfish (English), Hump-headed unicorn-fish (English), Hump-nose unicorn (English), Humpnose unicornfish (English)",Humpnose Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso tuberosus,Humpnose unicornfish ,Humpnose unicornfish (English),Humphead Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso unicornis,Bluespine unicornfish ,"Blue-spine unicorn (English), Bluespine unicornfish (English), Blue-spine unicornfish (English), Blue-spined unicorn (English), Brown unicornfish (English), Brown unicorn-fish (English), Longnose unicornfish (English), Spotted unicornfish (English)",Bluespine Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso vlamingii,Bignose unicornfish ,"Big-nose unicorn (English), Bignose unicornfish (English), Big-nose unicornfish (English), Scribbled unicornfish (English), Vlaming's unicornfish (English)",Bignose Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Paracanthurus hepatus,Palette surgeonfish ,"Blue surgeon (English), Blue surgeonfish (English), Blue tang (English), Flag-tail surgeon-fish (English), Indo-pacific bluetang (English), Palette surgeonfish (English), Palette tang (English), Wedgetailed blue tang (English)",Blue Tang
Osteichthyes,Acanthuriformes,Acanthuridae,Prionurus maculatus,Yellowspotted sawtail ,"Spotted sawtail (English), Spotted sawtail surgeonfish (English), Yellowspotted sawtail (English)",Spotted Sawtail
Osteichthyes,Acanthuriformes,Acanthuridae,Prionurus microlepidotus,Sixplate sawtail ,"Australian sawtail (English), Sawtail (English), Sawtail surgeonfish (English), Sixplate sawtail (English)",Australian Sawtail
Osteichthyes,Acanthuriformes,Acanthuridae,Zebrasoma scopas,Twotone tang ,"Blue-lined tang (English), Brown tang (English), Brushtail tang (English), Sombre surgeon-fish (English), Two-tone surgeon (English), Twotone tang (English)",Brown Tang
Osteichthyes,Acanthuriformes,Acanthuridae,Zebrasoma velifer,Sailfin tang ,"Purple sailfinned tang (English), Sailfin surgeon (English), Sailfin surgeonfish (English), Sailfin tang (English), Sail-finned surgeon-fish (English), Sailfinned tang (English)",
Osteichthyes,Acanthuriformes,Antigoniidae,Antigonia capros,Deepbody boarfish ,"Deepbody boarfish (English), Robust deepsea boarfish (English)",Robust Deepsea Boarfish
Osteichthyes,Acanthuriformes,Antigoniidae,Antigonia malayana,Malayan deepsea boarfish ,Malayan deepsea boarfish (English),Malayan Deepsea Boarfish
Osteichthyes,Acanthuriformes,Antigoniidae,Antigonia rhomboidea,Rhomboid deepsea boarfish ,"Pink boarfish (English), Rhomboid deepsea boarfish (English), Rhomboidal boarfish (English), Rhomboidal deepsea boarfish (English)",Rhomboid Deepsea Boarfish
Osteichthyes,Acanthuriformes,Antigoniidae,Antigonia rubescens,Indo-Pacific boarfish ,"Indo-Pacific boarfish (English), Sharpsnout deepsea boarfish (English)",Sharpsnout Deepsea Boarfish
Osteichthyes,Acanthuriformes,Antigoniidae,Antigonia rubicunda,Rosy deepsea boarfish ,"Rosy boarfish (English), Rosy deepsea boarfish (English)",Rosy Deepsea Boarfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Amphichaetodon howensis,Lord Howe Island butterflyfish ,"Broad-barred butterflyfish (English), Lord Howe butterflyfish (English), Lord Howe coralfish (English), Lord Howe Island butterflyfish (English)",Lord Howe Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon adiergastos,Philippine butterflyfish ,"Bantayan butterflyfish (English), Eye-patch butterflyfish (English), Philippine butterflyfish (English)",Philippine Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon assarius,West Australian butterflyfish ,"Assarius butterflyfish (English), Western butterflyfish (English)",Western Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon aureofasciatus,Golden butterflyfish ,"Gold-banded butterflyfish (English), Golden butterflyfish (English), Golden-striped butterflyfish (English), Goldstripe butterflyfish (English), Sunbrust butterflyfish (English)",Goldstripe Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon auriga,Threadfin butterflyfish ,"Threadfin butterflyfish (English), Threadfin coralfish (English)",Threadfin Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon baronessa,Eastern triangular butterflyfish ,"Baroness butterflyfish (English), Herringbone coralfish (English), Pacific triangular butterflyfish (English), Triangular butterflyfish (English), Triangular coralfish (English)",Triangular Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon bennetti,Bluelashed butterflyfish ,"Bennett's butterflyfish (English), Eclipse butterflyfish (English)",Eclipse Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon citrinellus,Speckled butterflyfish ,"Citron butterflyfish (English), Citron coralfish (English), Speckled butterflyfish (English)",Citron Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon decussatus,Indian vagabond butterflyfish ,"Blackened butterflyfish (English), Indian vagabond butterflyfish (English)",Indian Vagabond Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon ephippium,Saddle butterflyfish ,"Black-blotched butterfly-fish (English), Saddle butterflyfish (English), Saddleback butterflyfish (English), Saddled butterflyfish (English)",Saddle Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon flavirostris,Black butterflyfish ,"Black butterflyfish (English), Dusky butterflyfish (English), Yellow-faced butterfly-fish (English)",Dusky Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon guentheri,Crochet butterflyfish ,"Crochet butterflyfish (English), Gunther's butterflyfish (English), Günther's butterflyfish (English)",Gunther's Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon kleinii,Sunburst butterflyfish ,"Brown butterflyfish (English), Klein's butterflyfish (English), White-spotted butterflyfish (English)",Klein's Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon lineolatus,Lined butterflyfish ,"Line butterflyfish (English), Lined butterflyfish (English), New-moon coral-fish (English)",Lined Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon lunula,Raccoon butterflyfish ,"Raccoon butterflyfish (English), Racoon butterflyfish (English), Racoon coralfish (English), Red-striped butterfly-fish (English)",Racoon Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon lunulatus,Oval butterflyfish ,"Lineated butterfly-fish (English), Pacific pinstriped butterflyfish (English), Pinstripe butterflyfish (English), Redfin butterflyfish (English), Red-striped butterfly-fish (English), Striped butterflyfish (English)",Pinstripe Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon melannotus,Blackback butterflyfish ,Blackback butterflyfish (English),Blackback Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon mertensii,Atoll butterflyfish ,"Keel-finned butterfly-fish (English), Merten's butterflyfish (English), Mertens' butterflyfish (English)",Mertens' Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon meyeri,Scrawled butterflyfish ,"Meyer's butterflyfish (English), Meyer's coralfish (English)",Meyer's Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon ocellicaudus,Spot-tail butterflyfish ,"Spot-tail butterflyfish (English), Tail-spot butterflyfish (English)",Spot-tail Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon octofasciatus,Eightband butterflyfish ,Eightband butterflyfish (English),Eightband Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon ornatissimus,Ornate butterflyfish ,Ornate butterflyfish (English),Ornate Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon oxycephalus,Spot-nape butterflyfish ,"Pig-face butterflyfish (English), Spotnape butterflyfish (English), Spot-nape butterflyfish (English)",Spotnape Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon pelewensis,Sunset butterflyfish ,Dot-and-dash butterflyfish (English),Dot-and-dash Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon plebeius,Blueblotch butterflyfish ,"Blue-blotched butterfly-fish (English), Blue-dash butterflyfish (English), Bluespot butterflyfish (English), Blue-spot butterflyfish (English), Grey blotched butterflyfish (English), Two-spot coralfish (English)",Bluespot Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon punctatofasciatus,Spotband butterflyfish ,"Dot and dash butterflyfish (English), Spotbanded butterflyfish (English), Spot-banded butterflyfish (English)",Spotbanded Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon rafflesii,Latticed butterflyfish ,"Lattice butterflyfish (English), Latticed butterflyfish (English), Latticed coralfish (English), Raffles' coralfish (English)",Lattice Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon rainfordi,Rainford's butterflyfish ,"Northern butterflyfish (English), Rainford's butterflyfish (English)",Rainford's Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon reticulatus,Mailed butterflyfish ,"Reticulate butterflyfish (English), Reticulated butterflyfish (English)",Reticulate Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon semeion,Dotted butterflyfish ,Dotted butterflyfish (English),Dotted Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon speculum,Mirror butterflyfish ,"Mirror butterflyfish (English), Ovalspot butterflyfish (English), Oval-spot coralfish (English)",Ovalspot Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon tricinctus,Three-striped butterflyfish ,"Three stripe butterflyfish (English), Threeband butterflyfish (English), Three-band coralfish (English), Three-stripe butterflyfish (English), Three-striped butterflyfish (English)",Threeband Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon trifascialis,Chevron butterflyfish ,"Chevron butterflyfish (English), Right-angled butterfly-fish (English)",Chevron Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon trifasciatus,Melon butterflyfish ,Indian Ocean redfin butterflyfish (English),Redfin Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon ulietensis,Pacific double-saddle butterflyfish ,"Doublesaddle butterflyfish (English), Pacific doublesaddle butterflyfish (English)",Doublesaddle Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon unimaculatus,Teardrop butterflyfish ,"Pacific teardrop butterflyfish (English), Teardrop butterflyfish (English)",Teardrop Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chaetodon vagabundus,Vagabond butterflyfish ,"Criss-cross butterfly-fish (English), Vagabond butterflyfish (English)",Vagabond Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chelmon marginalis,Margined coralfish ,"Margined coralfish (English), Western beaked butterflyfish (English), Willemawillum (English)",Margined Coralfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chelmon muelleri,Blackfin coralfish ,"Beaked coralfish (English), Blackfin coralfish (English), Highfin coralfish (English), Muller's coralfish (English), Müller's coralfish (English)",Muller's Coralfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chelmon rostratus,Copperband butterflyfish ,"Beaked coralfish (English), Copperband butterflyfish (English), Copper-banded butterflyfish (English)",Beaked Coralfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Chelmonops curiosus,Western talma ,"Coral fish (English), Southern butterflyfish (English), Squareback butterflyfish (English), Square-back coralfish (English), Talma (English), Truncate butterflyfish (English), Truncate coralfish (English), Western talma (English)",Western Talma
Osteichthyes,Acanthuriformes,Chaetodontidae,Chelmonops truncatus,Eastern talma ,"Coralfish (English), Eastern talma (English), Talma (English), Truncate coralfish (English)",Eastern Talma
Osteichthyes,Acanthuriformes,Chaetodontidae,Coradion altivelis,Highfin coralfish ,"Highfin coralfish (English), High-finned coralfish (English)",Highfin Coralfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Coradion chrysozonus,Goldengirdled coralfish ,"Orangebanded coralfish (English), Orange-banded coralfish (English)",Orangebanded Coralfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Coradion melanopus,Twospot coralfish ,,
Osteichthyes,Acanthuriformes,Chaetodontidae,Forcipiger flavissimus,Longnose butterfly fish ,"Forceps fish (English), Longnose butterfly fish (English), Longnose butterflyfish (English), Long-nose butterflyfish (English)",Forceps Fish
Osteichthyes,Acanthuriformes,Chaetodontidae,Forcipiger longirostris,Longnose butterflyfish ,"Big longnose butterflyfish (English), Long-bill (English), Longnose butterflyfish (English), Pipe-snouted butterfly-fish (English), Very-long-nose butterflyfish (English)",Longnose Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Hemitaurichthys polylepis,Pyramid butterflyfish ,Pyramid butterflyfish (English),Pyramid Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Heniochus acuminatus,Pennant coralfish ,"Common bannerfish (English), Feather-fin bullfish (English), Longfin bannerfish (English), Pennant coral fish (English), Pennant coralfish (English), Reef bannerfish (English)",Longfin Bannerfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Heniochus chrysostomus,Threeband pennantfish ,"Pennant bannerfish (English), Three-banded bullfish (English)",Pennant Bannerfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Heniochus diphreutes,False moorish idol ,Schooling bannerfish (English),Schooling Bannerfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Heniochus monoceros,Masked bannerfish ,"Masked bannerfish (English), Three-banded bull-fish (English)",Masked Bannerfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Heniochus singularius,Singular bannerfish ,Singular bannerfish (English),Singular Bannerfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Heniochus varius,Horned bannerfish ,"Horned bannerfish (English), Horned bull-fish (English), Humphead bannerfish (English), Hunchbacked bullfish (English)",Horned Bannerfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Parachaetodon ocellatus,Sixspine butterflyfish ,"Eye-spot butterflyfish (English), Ocellated coralfish (English), Ocellate butterflyfish (English), Ocellate coralfish (English), Sixspine butterflyfish (English), Six-spined butterfly-fish (English), Six-spined coralfish (English)",Ocellate Butterflyfish
Osteichthyes,Acanthuriformes,Chaetodontidae,Roa australis,Triple-banded butterflyfish ,Triple-banded butterflyfish (English),Tripleband Butterflyfish
Osteichthyes,Acanthuriformes,Drepaneidae,Drepane longimana,Concertina fish ,"Banded sicklefish (English), Concertina fish (English), Sicklefish (English)",Banded Sicklefish
Osteichthyes,Acanthuriformes,Drepaneidae,Drepane punctata,Spotted sicklefish ,"Batfish (English), Butterfish (English), Butter-fish (English), Concertinafish (English), Jetto (English), Peppercorn (English), Sicklefish (English), Sickle-fish (English), Silver moonfish (English), Spotted spadefish (English), Spotted batfish (English), Spotted sicklefish (English)",Sicklefish
Osteichthyes,Acanthuriformes,Ephippidae,Ephippus orbis,Orbfish ,Orbfish (English),
Osteichthyes,Acanthuriformes,Ephippidae,Platax batavianus,Humpback batfish ,"Batavia batfish (English), Batavian batfish (English), Batfish (English), Humped batfish (English), Humphead batfish (English), Hump-headed batfish (English), Moonfish (English), Zebra batfish (English)",Humphead Batfish
Osteichthyes,Acanthuriformes,Ephippidae,Platax orbicularis,Orbicular batfish ,"Cooper batfish (English), Narrow-banded batfish (English), Orbicular batfish (English), Round batfish (English)",Round Batfish
Osteichthyes,Acanthuriformes,Ephippidae,Platax pinnatus,Dusky batfish ,"Batfish (English), Butterfly-fish (English), Dusky batfish (English), Leaf-fish (English), Longfin batfish (English), Long-finned batfish (English), Pinnate batfish (English), Shaded batfish (English), Sunfish (English), Turbot (English)",Longfin Batfish
Osteichthyes,Acanthuriformes,Ephippidae,Platax teira,Longfin batfish ,"Longfin batfish (English), Roundface batfish (English), Round-faced batfish (English), Spotbelly batfish (English), Tail-fin batfish (English), Tiera batfish (English)",Roundface Batfish
Osteichthyes,Acanthuriformes,Ephippidae,Rhinoprenes pentanemus,Threadfin scat ,"Threadfin scat (English), Threadfin spadefish (English)",Threadfin Scat
Osteichthyes,Acanthuriformes,Ephippidae,Zabidius novemaculeatus,Ninespine batfish ,"Ninespine batfish (English), Ninespined batfish (English), Nine-spined batfish (English), Shortfin batfish (English), Short-fin batfish (English), Short-finned batfish (English)",Shortfin Batfish
Osteichthyes,Acanthuriformes,Leiognathidae,Aurigequula fasciata,Striped ponyfish ,"Broad-banded ponyfish (English), Striped ponyfish (English), Threadfin ponyfish (English)",Threadfin Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Deveximentum insidiator,Pugnose ponyfish ,Pugnose ponyfish (English),Pugnose Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Deveximentum interruptum,Pig-nosed pony-fish ,"Deep pugnose ponyfish (English), Pig-nosed pony-fish (English), Pugnose ponyfish (English)",
Osteichthyes,Acanthuriformes,Leiognathidae,Deveximentum megalolepis,Bigscale ponyfish ,Bigscale ponyfish (English),Bigscale Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Equulites elongatus,Elongate ponyfish ,"Elongate ponyfish (English), Slender ponyfish (English)",Elongate Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Equulites laterofenestra,,,
Osteichthyes,Acanthuriformes,Leiognathidae,Equulites leuciscus,Whipfin ponyfish ,"Long-spined pony-fish (English), New Holland pony-fish (English), Whipfin ponyfish (English)",Whipfin Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Equulites lineolatus,Ornate ponyfish ,Ornate ponyfish (English),
Osteichthyes,Acanthuriformes,Leiognathidae,Eubleekeria jonesi,Jones’ pony fish ,,
Osteichthyes,Acanthuriformes,Leiognathidae,Eubleekeria splendens,Splendid ponyfish ,"Blacktip ponyfish (English), Black-tipped ponyfish (English), Splendid ponyfish (English)",Blacktip Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Gazza achlamys,Smalltoothed ponyfish ,Naked toothpony (English),
Osteichthyes,Acanthuriformes,Leiognathidae,Gazza dentex,Ovoid toothpony ,Ovoid ponyfish (English),Ovoid Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Gazza minuta,Toothpony ,"Toothed ponyfish (English), Toothpony (English)",Toothed Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Gazza rhombea,Rhomboid toothpony ,Rhomboid ponyfish (English),Rhomboid Ponyfish
Osteichthyes,Acanthuriformes,Leiognathidae,Leiognathus brevirostris,Shortnose ponyfish ,Shortnose ponyfish (English),
Osteichthyes,Acanthuriformes,Leiognathidae,Leiognathus equula,Common ponyfish ,"Common ponyfish (English), Narrow-banded ponyfish (English)",Common Ponyfish
