file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
V10_CKI_N_11_3_16S.1.fq.gz      FASTQ   DNA    135,132  16,481,940      121      122      123   121  121   123        0  121   96.73   92.89
V10_CKI_N_11_3_16S.2.fq.gz      FASTQ   DNA    135,132  16,490,268      121      122      123   121  123   123        0  123   96.16   91.51
V10_CKI_N_11_4_16S.1.fq.gz      FASTQ   DNA    435,838  53,155,528      121      122      123   121  121   123        0  121   96.36   92.51
V10_CKI_N_11_4_16S.2.fq.gz      FASTQ   DNA    435,838  53,188,944      121      122      123   121  123   123        0  123   96.02   91.49
V10_CKI_N_11_5_16S.1.fq.gz      FASTQ   DNA    240,224  29,307,920      121      122      123   121  123   123        0  123   97.14   93.61
V10_CKI_N_11_5_16S.2.fq.gz      FASTQ   DNA    240,224  29,306,736      121      122      123   121  121   123        0  123   95.98   91.52
V10_CKI_N_11_DI_16S.1.fq.gz     FASTQ   DNA      2,892     352,436      121    121.9      123   121  121   123        0  121   94.84   90.29
V10_CKI_N_11_DI_16S.2.fq.gz     FASTQ   DNA      2,892     353,212      121    122.1      123   121  123   123        0  123    93.4   87.67
V10_CKI_N_11_WC_16S.1.fq.gz     FASTQ   DNA     37,218   4,534,682      121    121.8      123   121  121   123        0  121   96.68   92.83
V10_CKI_N_11_WC_16S.2.fq.gz     FASTQ   DNA     37,218   4,546,510      121    122.2      123   121  123   123        0  123   95.95   91.25
V10_CKI_N_12_1_16S.1.fq.gz      FASTQ   DNA    462,846  56,423,706      121    121.9      123   121  121   123        0  121   96.38   92.36
V10_CKI_N_12_1_16S.2.fq.gz      FASTQ   DNA    462,846  56,510,718      121    122.1      123   121  123   123        0  123   95.76   90.95
V10_CKI_N_1_2_16S.1.fq.gz       FASTQ   DNA    497,295  60,666,985      121      122      123   121  121   123        0  123   95.94   91.63
V10_CKI_N_1_2_16S.2.fq.gz       FASTQ   DNA    497,295  60,672,995      121      122      123   121  123   123        0  123   95.32   90.18
V10_CKI_N_12_2_16S.1.fq.gz      FASTQ   DNA    320,285  39,031,463      121    121.9      123   121  121   123        0  121   96.33   92.38
V10_CKI_N_12_2_16S.2.fq.gz      FASTQ   DNA    320,285  39,118,077      121    122.1      123   121  123   123        0  123   95.59   90.65
V10_CKI_N_12_3_16S.1.fq.gz      FASTQ   DNA    288,563  35,168,929      121    121.9      123   121  121   123        0  121   96.79   93.04
V10_CKI_N_12_3_16S.2.fq.gz      FASTQ   DNA    288,563  35,240,443      121    122.1      123   121  123   123        0  123   95.89    91.2
V10_CKI_N_12_4_16S.1.fq.gz      FASTQ   DNA    139,145  16,956,145      121    121.9      123   121  121   123        0  121   96.17   92.06
V10_CKI_N_12_4_16S.2.fq.gz      FASTQ   DNA    139,145  16,995,235      121    122.1      123   121  123   123        0  123    95.5   90.53
V10_CKI_N_12_5_16S.1.fq.gz      FASTQ   DNA    308,657  37,613,577      121    121.9      123   121  121   123        0  121   96.08   91.82
V10_CKI_N_12_5_16S.2.fq.gz      FASTQ   DNA    308,657  37,698,731      121    122.1      123   121  123   123        0  123   95.16    90.1
V10_CKI_N_12_DI_16S.1.fq.gz     FASTQ   DNA      3,860     470,672      121    121.9      123   121  121   123        0  121   94.78   90.25
V10_CKI_N_12_DI_16S.2.fq.gz     FASTQ   DNA      3,860     471,168      121    122.1      123   121  123   123        0  123   93.54   87.96
V10_CKI_N_12_WC_16S.1.fq.gz     FASTQ   DNA      2,177     265,299      121    121.9      123   121  121   123        0  121   95.83   91.75
V10_CKI_N_12_WC_16S.2.fq.gz     FASTQ   DNA      2,177     265,889      121    122.1      123   121  123   123        0  123   94.68   89.51
V10_CKI_N_13_1_16S.1.fq.gz      FASTQ   DNA    242,916  29,640,966      121      122      123   121  123   123        0  123   96.34   92.21
V10_CKI_N_13_1_16S.2.fq.gz      FASTQ   DNA    242,916  29,630,538      121      122      123   121  121   123        0  121    95.8   90.94
V10_CKI_N_1_3_16S.1.fq.gz       FASTQ   DNA    225,550  27,521,370      121      122      123   121  123   123        0  123   96.24   92.29
V10_CKI_N_1_3_16S.2.fq.gz       FASTQ   DNA    225,550  27,512,830      121      122      123   121  121   123        0  121   95.98   91.35
V10_CKI_N_13_2_16S.1.fq.gz      FASTQ   DNA    413,648  50,487,022      121    122.1      123   121  123   123        0  123   96.09   91.86
V10_CKI_N_13_2_16S.2.fq.gz      FASTQ   DNA    413,648  50,443,090      121    121.9      123   121  121   123        0  121   95.74   90.86
V10_CKI_N_13_3_16S.1.fq.gz      FASTQ   DNA    304,800  37,183,486      121      122      123   121  121   123        0  123   96.25   92.13
V10_CKI_N_13_3_16S.2.fq.gz      FASTQ   DNA    304,800  37,187,714      121      122      123   121  123   123        0  123   95.64   90.68
V10_CKI_N_13_4_16S.1.fq.gz      FASTQ   DNA    252,749  30,837,435      121      122      123   121  123   123        0  123   96.03   91.79
V10_CKI_N_13_4_16S.2.fq.gz      FASTQ   DNA    252,749  30,833,321      121      122      123   121  121   123        0  123   95.68   90.77
V10_CKI_N_13_5_16S.1.fq.gz      FASTQ   DNA    191,170  23,319,098      121      122      123   121  121   123        0  121   95.79   91.45
V10_CKI_N_13_5_16S.2.fq.gz      FASTQ   DNA    191,170  23,326,382      121      122      123   121  123   123        0  123   95.42   90.39
V10_CKI_N_13_DI_16S.1.fq.gz     FASTQ   DNA      1,135     138,453      121      122      123   121  121   123        0  121      94   88.96
V10_CKI_N_13_DI_16S.2.fq.gz     FASTQ   DNA      1,135     138,487      121      122      123   121  123   123        0  123   92.61   86.41
V10_CKI_N_13_WC_16S.1.fq.gz     FASTQ   DNA     37,912   4,624,692      121      122      123   121  121   123        0  121   96.16   92.09
V10_CKI_N_13_WC_16S.2.fq.gz     FASTQ   DNA     37,912   4,625,836      121      122      123   121  123   123        0  123   95.46   90.64
V10_CKI_N_14_1_16S.1.fq.gz      FASTQ   DNA    338,983  41,404,831      121    122.1      123   121  123   123        0  123   96.47   92.58
V10_CKI_N_14_1_16S.2.fq.gz      FASTQ   DNA    338,983  41,307,021      121    121.9      123   121  121   123        0  121   96.09   91.51
V10_CKI_N_1_4_16S.1.fq.gz       FASTQ   DNA    380,820  46,477,388      121      122      123   121  123   123        0  123    96.6   92.65
V10_CKI_N_1_4_16S.2.fq.gz       FASTQ   DNA    380,820  46,442,692      121      122      123   121  121   123        0  121   95.73   90.85
V10_CKI_N_14_2_16S.1.fq.gz      FASTQ   DNA    208,262  25,584,722      121    122.8      123   123  123   123        0  123   93.96   89.12
V10_CKI_N_14_2_16S.2.fq.gz      FASTQ   DNA    208,262  25,231,206      121    121.2      123   121  121   121        0  121   67.72   53.83
V10_CKI_N_14_3_16S.1.fq.gz      FASTQ   DNA    525,173  64,054,611      121      122      123   121  121   123        0  121   95.87   91.71
V10_CKI_N_14_3_16S.2.fq.gz      FASTQ   DNA    525,173  64,087,601      121      122      123   121  123   123        0  123   95.69   90.91
V10_CKI_N_14_4_16S.1.fq.gz      FASTQ   DNA    216,359  26,412,759      121    122.1      123   121  123   123        0  123   96.03   91.88
V10_CKI_N_14_4_16S.2.fq.gz      FASTQ   DNA    216,359  26,378,837      121    121.9      123   121  121   123        0  121   95.82   90.98
V10_CKI_N_14_5_16S.1.fq.gz      FASTQ   DNA    460,047  56,127,567      121      122      123   121  123   123        0  123   96.24   92.04
V10_CKI_N_14_5_16S.2.fq.gz      FASTQ   DNA    460,047  56,123,901      121      122      123   121  121   123        0  123   94.91   89.38
V10_CKI_N_14_DI_16S.1.fq.gz     FASTQ   DNA          7         857      121    122.4      123   122  123   123        0  123   78.76   69.78
V10_CKI_N_14_DI_16S.2.fq.gz     FASTQ   DNA          7         851      121    121.6      123   121  121   122        0  121   76.73   67.57
V10_CKI_N_14_WC_16S.1.fq.gz     FASTQ   DNA        322      39,298      121      122      123   121  123   123        0  123   94.36   89.65
V10_CKI_N_14_WC_16S.2.fq.gz     FASTQ   DNA        322      39,270      121      122      123   121  121   123        0  121    92.5   86.48
V10_CKI_N_1_5_16S.1.fq.gz       FASTQ   DNA    403,278  49,200,238      121      122      123   121  123   123        0  123   96.23   92.17
V10_CKI_N_1_5_16S.2.fq.gz       FASTQ   DNA    403,278  49,199,594      121      122      123   121  121   123        0  123   95.95   91.27
V10_CKI_N_1_DI_16S.1.fq.gz      FASTQ   DNA      8,116     990,026      121      122      123   121  121   123        0  121   95.11   90.47
V10_CKI_N_1_DI_16S.2.fq.gz      FASTQ   DNA      8,116     990,278      121      122      123   121  123   123        0  123   94.05   88.35
V10_CKI_N_1_WC_16S.1.fq.gz      FASTQ   DNA     29,482   3,596,180      121      122      123   121  121   123        0  121   95.64   91.21
V10_CKI_N_1_WC_16S.2.fq.gz      FASTQ   DNA     29,482   3,597,428      121      122      123   121  123   123        0  123   95.19   89.93
