file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
V10_CKI_N_11_5_16S.1.fq.gz      FASTQ   DNA    107,947  15,436,421      143      143      143  71.5  143  71.5        0  143   95.63   91.14
V10_CKI_N_11_5_16S.2.fq.gz      FASTQ   DNA    107,947  15,436,421      143      143      143  71.5  143  71.5        0  143   96.35   92.13
V10_CKI_N_11_DI_16S.1.fq.gz     FASTQ   DNA      2,095     299,585      143      143      143  71.5  143  71.5        0  143   94.74   89.77
V10_CKI_N_11_DI_16S.2.fq.gz     FASTQ   DNA      2,095     299,585      143      143      143  71.5  143  71.5        0  143   95.84   91.48
V10_CKI_N_11_WC_16S.1.fq.gz     FASTQ   DNA      7,050   1,008,150      143      143      143  71.5  143  71.5        0  143   94.44   89.24
V10_CKI_N_11_WC_16S.2.fq.gz     FASTQ   DNA      7,050   1,008,150      143      143      143  71.5  143  71.5        0  143   95.68   90.95
V10_CKI_N_12_1_16S.1.fq.gz      FASTQ   DNA     70,597  10,095,371      143      143      143  71.5  143  71.5        0  143   96.09   91.84
V10_CKI_N_12_1_16S.2.fq.gz      FASTQ   DNA     70,597  10,095,371      143      143      143  71.5  143  71.5        0  143   95.97   91.67
V10_CKI_N_1_2_16S.1.fq.gz       FASTQ   DNA    138,722  19,837,246      143      143      143  71.5  143  71.5        0  143   95.85   91.65
V10_CKI_N_1_2_16S.2.fq.gz       FASTQ   DNA    138,722  19,837,246      143      143      143  71.5  143  71.5        0  143   96.24   91.99
V10_CKI_N_12_2_16S.1.fq.gz      FASTQ   DNA     41,306   5,906,758      143      143      143  71.5  143  71.5        0  143   95.54   91.32
V10_CKI_N_12_2_16S.2.fq.gz      FASTQ   DNA     41,306   5,906,758      143      143      143  71.5  143  71.5        0  143   96.69   92.86
V10_CKI_N_12_3_16S.1.fq.gz      FASTQ   DNA     84,878  12,137,554      143      143      143  71.5  143  71.5        0  143   95.54   91.22
V10_CKI_N_12_3_16S.2.fq.gz      FASTQ   DNA     84,878  12,137,554      143      143      143  71.5  143  71.5        0  143   96.75   92.95
V10_CKI_N_12_4_16S.1.fq.gz      FASTQ   DNA     49,617   7,095,231      143      143      143  71.5  143  71.5        0  143   95.75   91.56
V10_CKI_N_12_4_16S.2.fq.gz      FASTQ   DNA     49,617   7,095,231      143      143      143  71.5  143  71.5        0  143    96.7   92.82
V10_CKI_N_12_5_16S.1.fq.gz      FASTQ   DNA     78,239  11,188,177      143      143      143  71.5  143  71.5        0  143   95.69   91.35
V10_CKI_N_12_5_16S.2.fq.gz      FASTQ   DNA     78,239  11,188,177      143      143      143  71.5  143  71.5        0  143   96.48   92.41
V10_CKI_N_12_DI_16S.1.fq.gz     FASTQ   DNA     22,726   3,249,818      143      143      143  71.5  143  71.5        0  143   94.84   90.01
V10_CKI_N_12_DI_16S.2.fq.gz     FASTQ   DNA     22,726   3,249,818      143      143      143  71.5  143  71.5        0  143   96.11   91.74
V10_CKI_N_12_WC_16S.1.fq.gz     FASTQ   DNA      4,200     600,600      143      143      143  71.5  143  71.5        0  143   94.35   89.13
V10_CKI_N_12_WC_16S.2.fq.gz     FASTQ   DNA      4,200     600,600      143      143      143  71.5  143  71.5        0  143   95.39   90.51
V10_CKI_N_13_1_16S.1.fq.gz      FASTQ   DNA     59,616   8,525,088      143      143      143  71.5  143  71.5        0  143   95.53    90.8
V10_CKI_N_13_1_16S.2.fq.gz      FASTQ   DNA     59,616   8,525,088      143      143      143  71.5  143  71.5        0  143   96.75   92.78
V10_CKI_N_1_3_16S.1.fq.gz       FASTQ   DNA     38,887   5,560,841      143      143      143  71.5  143  71.5        0  143   95.81   91.57
V10_CKI_N_1_3_16S.2.fq.gz       FASTQ   DNA     38,887   5,560,841      143      143      143  71.5  143  71.5        0  143   96.44   92.29
V10_CKI_N_13_2_16S.1.fq.gz      FASTQ   DNA    153,846  21,999,978      143      143      143  71.5  143  71.5        0  143   94.39   89.58
V10_CKI_N_13_2_16S.2.fq.gz      FASTQ   DNA    153,846  21,999,978      143      143      143  71.5  143  71.5        0  143   96.44    92.3
V10_CKI_N_13_3_16S.1.fq.gz      FASTQ   DNA    141,335  20,210,905      143      143      143  71.5  143  71.5        0  143   95.42    90.8
V10_CKI_N_13_3_16S.2.fq.gz      FASTQ   DNA    141,335  20,210,905      143      143      143  71.5  143  71.5        0  143   96.81   93.05
V10_CKI_N_13_4_16S.1.fq.gz      FASTQ   DNA    133,245  19,054,035      143      143      143  71.5  143  71.5        0  143   95.29    90.7
V10_CKI_N_13_4_16S.2.fq.gz      FASTQ   DNA    133,245  19,054,035      143      143      143  71.5  143  71.5        0  143    96.8   93.04
V10_CKI_N_13_5_16S.1.fq.gz      FASTQ   DNA    147,665  21,116,095      143      143      143  71.5  143  71.5        0  143   95.23   90.44
V10_CKI_N_13_5_16S.2.fq.gz      FASTQ   DNA    147,665  21,116,095      143      143      143  71.5  143  71.5        0  143   96.95    93.2
V10_CKI_N_13_DI_16S.1.fq.gz     FASTQ   DNA     13,169   1,883,167      143      143      143  71.5  143  71.5        0  143   93.24   87.77
V10_CKI_N_13_DI_16S.2.fq.gz     FASTQ   DNA     13,169   1,883,167      143      143      143  71.5  143  71.5        0  143   95.71   91.21
V10_CKI_N_13_WC_16S.1.fq.gz     FASTQ   DNA     20,068   2,869,724      143      143      143  71.5  143  71.5        0  143   93.68   87.84
V10_CKI_N_13_WC_16S.2.fq.gz     FASTQ   DNA     20,068   2,869,724      143      143      143  71.5  143  71.5        0  143   95.46   90.51
V10_CKI_N_14_1_16S.1.fq.gz      FASTQ   DNA     43,110   6,164,730      143      143      143  71.5  143  71.5        0  143   96.59   92.74
V10_CKI_N_14_1_16S.2.fq.gz      FASTQ   DNA     43,110   6,164,730      143      143      143  71.5  143  71.5        0  143   96.54   92.56
V10_CKI_N_1_4_16S.1.fq.gz       FASTQ   DNA    153,996  22,021,428      143      143      143  71.5  143  71.5        0  143   95.95    91.8
V10_CKI_N_1_4_16S.2.fq.gz       FASTQ   DNA    153,996  22,021,428      143      143      143  71.5  143  71.5        0  143   96.07   91.73
V10_CKI_N_14_2_16S.1.fq.gz      FASTQ   DNA     81,222  11,614,746      143      143      143  71.5  143  71.5        0  143    96.4    92.5
V10_CKI_N_14_2_16S.2.fq.gz      FASTQ   DNA     81,222  11,614,746      143      143      143  71.5  143  71.5        0  143   96.36   92.15
V10_CKI_N_14_3_16S.1.fq.gz      FASTQ   DNA     43,276   6,188,468      143      143      143  71.5  143  71.5        0  143   96.31   92.39
V10_CKI_N_14_3_16S.2.fq.gz      FASTQ   DNA     43,276   6,188,468      143      143      143  71.5  143  71.5        0  143   96.33   92.15
V10_CKI_N_14_4_16S.1.fq.gz      FASTQ   DNA     85,738  12,260,534      143      143      143  71.5  143  71.5        0  143   96.86   93.15
V10_CKI_N_14_4_16S.2.fq.gz      FASTQ   DNA     85,738  12,260,534      143      143      143  71.5  143  71.5        0  143   96.21   91.93
V10_CKI_N_14_5_16S.1.fq.gz      FASTQ   DNA     77,447  11,074,921      143      143      143  71.5  143  71.5        0  143   96.56   92.79
V10_CKI_N_14_5_16S.2.fq.gz      FASTQ   DNA     77,447  11,074,921      143      143      143  71.5  143  71.5        0  143   96.15   91.87
