file                               format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
V10_CKI_N_15_4_MiFish.2.fq.gz      FASTQ   DNA    122,589  19,736,829      161      161      161  80.5  161  80.5        0  161   96.05    91.6
V10_CKI_N_15_5_MiFish.1.fq.gz      FASTQ   DNA    124,300  20,012,300      161      161      161  80.5  161  80.5        0  161   93.76   88.19
V10_CKI_N_15_5_MiFish.2.fq.gz      FASTQ   DNA    124,300  20,012,300      161      161      161  80.5  161  80.5        0  161   95.82   91.26
V10_CKI_N_15_DI_MiFish.1.fq.gz     FASTQ   DNA     11,967   1,926,687      161      161      161  80.5  161  80.5        0  161   93.34    87.6
V10_CKI_N_15_DI_MiFish.2.fq.gz     FASTQ   DNA     11,967   1,926,687      161      161      161  80.5  161  80.5        0  161   95.33   90.37
V10_CKI_N_15_WC_MiFish.1.fq.gz     FASTQ   DNA     11,117   1,789,837      161      161      161  80.5  161  80.5        0  161   93.51    87.8
V10_CKI_N_15_WC_MiFish.2.fq.gz     FASTQ   DNA     11,117   1,789,837      161      161      161  80.5  161  80.5        0  161   95.61   90.77
V10_CKI_N_16_1_MiFish.1.fq.gz      FASTQ   DNA    134,910  21,720,510      161      161      161  80.5  161  80.5        0  161   94.86   90.08
V10_CKI_N_16_1_MiFish.2.fq.gz      FASTQ   DNA    134,910  21,720,510      161      161      161  80.5  161  80.5        0  161   95.97   91.63
V10_CKI_N_16_2_MiFish.1.fq.gz      FASTQ   DNA    107,594  17,322,634      161      161      161  80.5  161  80.5        0  161    94.6   89.69
V10_CKI_N_16_2_MiFish.2.fq.gz      FASTQ   DNA    107,594  17,322,634      161      161      161  80.5  161  80.5        0  161   95.55   91.01
V10_CKI_N_16_3_MiFish.1.fq.gz      FASTQ   DNA    100,842  16,235,562      161      161      161  80.5  161  80.5        0  161   94.55   89.62
V10_CKI_N_16_3_MiFish.2.fq.gz      FASTQ   DNA    100,842  16,235,562      161      161      161  80.5  161  80.5        0  161   95.71    91.3
V10_CKI_N_16_4_MiFish.1.fq.gz      FASTQ   DNA     87,849  14,143,689      161      161      161  80.5  161  80.5        0  161    91.4   84.17
V10_CKI_N_16_4_MiFish.2.fq.gz      FASTQ   DNA     87,849  14,143,689      161      161      161  80.5  161  80.5        0  161   95.63   90.98
V10_CKI_N_16_5_MiFish.1.fq.gz      FASTQ   DNA     46,701   7,518,861      161      161      161  80.5  161  80.5        0  161   92.01   84.86
V10_CKI_N_16_5_MiFish.2.fq.gz      FASTQ   DNA     46,701   7,518,861      161      161      161  80.5  161  80.5        0  161   96.31   92.05
V10_CKI_N_16_DI_MiFish.1.fq.gz     FASTQ   DNA      9,213   1,483,293      161      161      161  80.5  161  80.5        0  161   91.16   83.64
V10_CKI_N_16_DI_MiFish.2.fq.gz     FASTQ   DNA      9,213   1,483,293      161      161      161  80.5  161  80.5        0  161   95.88   91.59
V10_CKI_N_16_WC_MiFish.1.fq.gz     FASTQ   DNA     11,037   1,776,957      161      161      161  80.5  161  80.5        0  161   89.74   81.41
V10_CKI_N_16_WC_MiFish.2.fq.gz     FASTQ   DNA     11,037   1,776,957      161      161      161  80.5  161  80.5        0  161   95.25   90.01
V10_CKI_N_17_1_MiFish.1.fq.gz      FASTQ   DNA     70,961  11,424,721      161      161      161  80.5  161  80.5        0  161   91.81   84.52
V10_CKI_N_17_1_MiFish.2.fq.gz      FASTQ   DNA     70,961  11,424,721      161      161      161  80.5  161  80.5        0  161   96.02   91.37
V10_CKI_N_17_2_MiFish.1.fq.gz      FASTQ   DNA     75,216  12,109,776      161      161      161  80.5  161  80.5        0  161   91.87   84.62
V10_CKI_N_17_2_MiFish.2.fq.gz      FASTQ   DNA     75,216  12,109,776      161      161      161  80.5  161  80.5        0  161   95.84   91.19
V10_CKI_N_17_3_MiFish.1.fq.gz      FASTQ   DNA     75,989  12,234,229      161      161      161  80.5  161  80.5        0  161   91.65   84.26
V10_CKI_N_17_3_MiFish.2.fq.gz      FASTQ   DNA     75,989  12,234,229      161      161      161  80.5  161  80.5        0  161    96.1   91.71
V10_CKI_N_17_4_MiFish.1.fq.gz      FASTQ   DNA     77,809  12,527,249      161      161      161  80.5  161  80.5        0  161   94.27   89.01
V10_CKI_N_17_4_MiFish.2.fq.gz      FASTQ   DNA     77,809  12,527,249      161      161      161  80.5  161  80.5        0  161   95.68   90.99
V10_CKI_N_17_5_MiFish.1.fq.gz      FASTQ   DNA     41,712   6,715,632      161      161      161  80.5  161  80.5        0  161   94.41   89.17
V10_CKI_N_17_5_MiFish.2.fq.gz      FASTQ   DNA     41,712   6,715,632      161      161      161  80.5  161  80.5        0  161   95.89    91.2
V10_CKI_N_17_DI_MiFish.1.fq.gz     FASTQ   DNA      8,705   1,401,505      161      161      161  80.5  161  80.5        0  161   92.84   86.74
V10_CKI_N_17_DI_MiFish.2.fq.gz     FASTQ   DNA      8,705   1,401,505      161      161      161  80.5  161  80.5        0  161   95.12   89.83
V10_CKI_N_17_WC_MiFish.1.fq.gz     FASTQ   DNA     10,339   1,664,579      161      161      161  80.5  161  80.5        0  161   92.58   86.33
V10_CKI_N_17_WC_MiFish.2.fq.gz     FASTQ   DNA     10,339   1,664,579      161      161      161  80.5  161  80.5        0  161   94.72   89.29
V10_CKI_N_18_1_MiFish.1.fq.gz      FASTQ   DNA    123,004  19,803,644      161      161      161  80.5  161  80.5        0  161   94.62   89.65
V10_CKI_N_18_1_MiFish.2.fq.gz      FASTQ   DNA    123,004  19,803,644      161      161      161  80.5  161  80.5        0  161   95.57   91.13
V10_CKI_N_18_2_MiFish.1.fq.gz      FASTQ   DNA     77,142  12,419,862      161      161      161  80.5  161  80.5        0  161   92.64   86.69
V10_CKI_N_18_2_MiFish.2.fq.gz      FASTQ   DNA     77,142  12,419,862      161      161      161  80.5  161  80.5        0  161   95.35   90.32
V10_CKI_N_18_3_MiFish.1.fq.gz      FASTQ   DNA    106,215  17,100,615      161      161      161  80.5  161  80.5        0  161   94.72   89.69
V10_CKI_N_18_3_MiFish.2.fq.gz      FASTQ   DNA    106,215  17,100,615      161      161      161  80.5  161  80.5        0  161   95.85   91.37
V10_CKI_N_18_4_MiFish.1.fq.gz      FASTQ   DNA     92,647  14,916,167      161      161      161  80.5  161  80.5        0  161    94.8   89.86
V10_CKI_N_18_4_MiFish.2.fq.gz      FASTQ   DNA     92,647  14,916,167      161      161      161  80.5  161  80.5        0  161   95.91    91.5
V10_CKI_N_18_5_MiFish.1.fq.gz      FASTQ   DNA    105,191  16,935,751      161      161      161  80.5  161  80.5        0  161   94.29   89.05
V10_CKI_N_18_5_MiFish.2.fq.gz      FASTQ   DNA    105,191  16,935,751      161      161      161  80.5  161  80.5        0  161   95.96   91.69
V10_CKI_N_18_DI_MiFish.1.fq.gz     FASTQ   DNA     11,340   1,825,740      161      161      161  80.5  161  80.5        0  161   92.87   86.78
V10_CKI_N_18_DI_MiFish.2.fq.gz     FASTQ   DNA     11,340   1,825,740      161      161      161  80.5  161  80.5        0  161    95.1   89.96
V10_CKI_N_18_WC_MiFish.1.fq.gz     FASTQ   DNA      4,161     669,921      161      161      161  80.5  161  80.5        0  161   92.48   86.21
V10_CKI_N_18_WC_MiFish.2.fq.gz     FASTQ   DNA      4,161     669,921      161      161      161  80.5  161  80.5        0  161   95.03   89.71
V10_CKI_N_19_1_MiFish.1.fq.gz      FASTQ   DNA     85,754  13,806,394      161      161      161  80.5  161  80.5        0  161   94.16   88.91
V10_CKI_N_19_1_MiFish.2.fq.gz      FASTQ   DNA     85,754  13,806,394      161      161      161  80.5  161  80.5        0  161   95.89   91.38
V10_CKI_N_19_2_MiFish.1.fq.gz      FASTQ   DNA    104,455  16,817,255      161      161      161  80.5  161  80.5        0  161   94.22   88.95
V10_CKI_N_19_2_MiFish.2.fq.gz      FASTQ   DNA    104,455  16,817,255      161      161      161  80.5  161  80.5        0  161   96.09   91.88
V10_CKI_N_19_3_MiFish.1.fq.gz      FASTQ   DNA    110,329  17,762,969      161      161      161  80.5  161  80.5        0  161    94.3   88.92
V10_CKI_N_19_3_MiFish.2.fq.gz      FASTQ   DNA    110,329  17,762,969      161      161      161  80.5  161  80.5        0  161   95.67   90.85
V10_CKI_N_19_4_MiFish.1.fq.gz      FASTQ   DNA    107,211  17,260,971      161      161      161  80.5  161  80.5        0  161   94.27   88.95
V10_CKI_N_19_4_MiFish.2.fq.gz      FASTQ   DNA    107,211  17,260,971      161      161      161  80.5  161  80.5        0  161   95.83   91.22
V10_CKI_N_19_5_MiFish.1.fq.gz      FASTQ   DNA     91,680  14,760,480      161      161      161  80.5  161  80.5        0  161   94.19   88.85
V10_CKI_N_19_5_MiFish.2.fq.gz      FASTQ   DNA     91,680  14,760,480      161      161      161  80.5  161  80.5        0  161   95.82   91.31
